AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP,TEY,CO,NOX
10.425,1028.9,76.968,5.8715,33.315,1100.3,527.34,14.168,161.58,0.39591,59.023
20.658,1012.2,92.269,3.6426,19.658,1056.8,549.8,10.528,109.65,5.151,55.341
19.652,1015.4,92.844,3.3713,21.076,1056.2,550.32,10.809,113.09,4.2833,51.6
29.598,1006.5,60.109,4.7942,30.502,1100.0,540.1,13.177,148.46,1.4168,63.047
18.491,1016.2,89.258,4.0193,31.422,1100.0,536.56,13.448,151.92,1.3833,72.933
9.5235,1024.6,85.953,3.8037,23.376,1084.2,549.97,11.846,133.27,1.7129,76.172
14.003,1016.3,81.679,4.2118,24.615,1088.6,550.18,11.96,134.84,0.94011,68.151
10.04,1007.2,93.539,3.062,24.333,1085.7,550.05,11.789,135.26,1.6946,77.672
22.843,1007.1,94.106,3.9633,24.896,1077.0,549.72,11.708,128.4,1.168,42.491
29.647,1013.2,41.204,4.2157,20.768,1062.4,549.99,10.79,110.03,2.9863,56.955
22.211,1014.0,79.873,4.2711,29.528,1099.4,540.12,13.073,147.33,0.76276,60.805
32.554,1014.4,44.826,4.5588,30.095,1100.0,540.07,13.233,147.36,1.4078,59.35
19.359,1001.3,65.672,4.1509,19.964,1056.6,550.19,10.443,110.69,3.6702,73.392
12.544,1020.9,70.65,4.4642,31.742,1100.0,536.81,13.808,157.14,3.0179,54.971
8.7943,1021.7,44.747,3.1799,27.564,1075.2,549.99,11.619,131.01,2.9556,74.487
18.178,1023.6,70.918,4.8714,25.249,1090.7,549.9,11.976,134.69,0.6483,73.828
13.679,1012.7,99.781,3.935,21.956,1072.0,549.94,11.156,123.27,2.1936,71.22
32.014,1009.0,49.901,4.5696,27.132,1097.7,549.99,12.335,134.79,0.32817,67.353
25.085,1006.3,67.739,4.3467,24.015,1081.9,550.26,11.717,126.84,2.1152,61.689
14.358,1010.9,88.623,3.6018,24.195,1086.0,550.22,11.757,133.69,1.2978,68.759
15.1,1006.7,84.498,2.6606,19.909,1057.3,549.9,10.567,111.97,4.9012,79.119
16.285,1006.7,96.707,3.7667,24.878,1087.2,549.59,12.104,134.47,1.3889,65.128
24.05,1011.2,78.166,3.8304,25.463,1090.4,549.65,12.107,133.78,0.63775,59.398
15.854,1016.2,82.252,4.2315,24.467,1087.5,549.98,11.984,133.95,1.3227,71.897
18.139,1014.8,69.079,6.122,33.119,1100.2,529.94,13.865,155.03,0.29193,68.044
18.41,1016.7,88.009,3.1676,19.723,1058.8,550.08,10.566,111.8,3.704,62.122
15.144,1016.8,83.215,5.9178,31.716,1099.8,534.04,13.601,154.27,1.3634,71.242
18.505,1011.9,92.268,3.0515,19.369,1056.3,549.88,10.524,110.79,2.7676,60.37
15.469,1029.5,55.262,2.5981,18.261,1035.4,544.23,10.268,102.98,9.8506,81.835
11.397,1014.2,88.354,4.3642,24.269,1085.2,549.85,11.999,134.1,1.6589,79.433
19.971,1008.1,85.921,3.4066,21.726,1067.8,550.0,11.031,118.27,6.5229,54.383
26.139,1007.7,76.559,3.8821,25.883,1091.5,549.84,12.065,133.07,1.7694,61.726
22.466,1011.0,82.0,3.8245,24.193,1082.8,549.84,11.788,128.04,2.7524,62.361
2.7969,1001.5,90.015,3.4021,24.65,1076.8,549.83,11.879,135.37,0.69118,66.141
7.3472,1019.3,77.571,5.0452,31.438,1097.2,530.47,13.823,159.09,1.0691,70.82
22.049,1010.4,92.266,3.9776,25.027,1088.6,550.11,12.105,132.87,8.0357,62.175
9.3305,1026.4,81.462,2.5695,21.749,1043.0,547.71,10.305,108.44,8.266,84.745
19.08,1016.7,80.799,2.9487,24.957,1089.9,550.05,12.024,134.96,1.0227,59.36
19.213,1009.9,74.489,2.9865,24.658,1086.8,549.9,11.92,132.88,1.7843,73.625
16.578,1015.2,81.592,5.4797,31.191,1100.2,534.91,13.591,154.56,1.4365,69.373
9.6661,1021.1,94.676,3.1782,23.403,1069.2,549.77,11.458,128.32,2.1566,67.005
11.601,1011.5,92.96,4.2317,19.425,1053.6,549.03,10.39,111.23,4.7018,81.121
21.456,1017.2,74.691,4.5528,30.583,1095.7,541.48,13.22,146.5,1.9853,66.401
14.69,1005.2,97.013,3.3603,25.174,1086.5,550.02,11.966,134.2,1.5393,65.84
25.472,1008.5,80.734,4.349,25.631,1089.9,549.86,12.043,132.87,1.6388,61.661
26.275,1016.4,62.296,3.3241,20.5,1062.1,549.69,10.764,111.73,1.8285,56.927
22.933,1015.3,60.393,3.9467,26.246,1086.3,550.18,12.147,135.4,1.9217,65.121
14.954,1005.5,97.462,3.7714,24.762,1078.8,549.95,11.914,133.41,1.9142,63.214
26.74,1008.3,81.868,4.9782,30.805,1099.8,544.28,13.267,146.94,1.0959,53.207
30.346,1009.8,54.884,4.5207,26.454,1095.2,550.09,12.414,134.54,4.5673,73.746
23.986,1008.1,80.786,4.1513,29.692,1099.4,546.2,13.078,147.07,1.2401,51.48
12.163,1004.6,83.68,5.7584,32.487,1099.7,533.27,13.615,157.99,0.40686,68.14
12.763,1009.5,96.167,3.7536,25.128,1086.5,549.55,11.906,134.0,1.6,58.533
8.7143,1021.2,89.613,2.2548,19.327,1034.9,534.47,10.502,109.66,11.033,87.504
7.4978,1025.5,78.991,2.9747,20.746,1055.0,546.39,10.955,118.94,7.3327,72.733
16.043,1019.4,81.125,4.1607,32.486,1100.1,532.8,13.724,154.17,1.2289,74.004
23.304,1013.1,80.345,5.2495,25.622,1091.3,550.2,12.201,133.6,1.3509,60.879
8.5105,1026.4,83.669,3.1977,23.253,1076.3,549.87,11.801,131.63,2.9968,62.816
14.209,1005.4,89.396,3.4364,23.91,1075.7,549.8,11.696,130.15,2.3876,54.142
27.001,1006.2,79.568,3.851,25.145,1077.6,550.24,11.84,126.8,2.0312,44.532
13.994,1023.3,76.088,3.408,24.608,1058.9,535.92,11.91,127.09,2.5959,81.812
13.732,1011.4,89.035,2.6318,17.998,1027.0,541.36,9.9358,100.94,11.905,86.86
14.807,1026.6,77.963,3.9397,24.329,1088.6,549.84,12.074,134.12,1.6164,74.63
31.611,1004.8,42.295,4.441,29.721,1100.3,542.14,13.19,146.04,0.27284,62.407
9.5483,1013.7,95.622,4.0377,30.762,1097.1,534.24,13.496,155.28,2.4784,76.046
16.246,1005.1,93.239,3.003,18.933,1052.7,549.99,10.299,108.29,4.9358,64.371
22.209,1012.3,86.316,3.9447,25.074,1087.2,549.43,11.931,132.26,1.8633,68.209
24.48,1010.3,78.732,5.0925,25.135,1078.9,544.88,11.863,127.66,2.0739,54.9
33.223,1008.0,49.414,4.4053,29.661,1099.9,546.83,13.012,146.42,1.8284,56.26
4.6708,1026.8,82.882,3.8791,23.293,1084.3,550.06,11.891,134.67,1.8207,82.41
28.009,1001.4,74.412,4.4532,29.651,1099.6,542.59,13.014,145.42,0.47136,57.076
30.221,1010.6,63.801,4.4615,26.33,1094.2,550.02,12.281,133.8,5.244,71.222
12.015,1015.3,95.624,3.7869,25.215,1077.5,550.09,11.841,134.31,1.2329,59.2
26.696,1007.8,87.673,3.9475,23.616,1069.6,550.44,11.447,121.12,2.3632,44.588
30.427,1004.5,62.207,4.2586,25.798,1081.6,549.82,12.031,128.34,1.7901,52.412
17.68,1009.1,98.398,2.4698,20.544,1062.0,549.9,10.758,114.82,3.3509,64.401
14.219,1001.8,88.756,3.2029,24.629,1085.9,549.77,11.839,134.53,0.99533,74.546
20.227,1007.4,92.518,3.4884,22.937,1076.5,550.14,11.42,124.91,1.3098,59.189
23.899,1005.0,95.018,3.9183,25.58,1090.7,550.01,11.979,133.75,0.38971,54.754
15.335,1017.7,80.545,3.0889,19.725,1052.7,550.29,10.619,112.54,4.5754,55.452
19.54,1003.4,88.214,3.7653,25.689,1090.6,550.36,12.133,135.35,0.27921,63.846
23.737,1006.8,98.424,5.1302,29.846,1100.1,547.43,13.067,145.5,1.5359,54.116
21.338,1009.3,85.355,3.7857,24.849,1080.0,549.87,11.85,131.61,2.0206,51.691
25.508,1009.5,80.172,4.4059,29.897,1099.9,545.48,13.162,147.02,1.9281,54.566
6.8114,1021.7,79.705,2.4992,21.396,1063.0,550.02,11.0,122.35,2.62,74.857
26.365,1012.0,44.722,4.3698,30.57,1099.9,542.64,13.342,150.27,1.7329,48.881
18.983,1022.5,87.202,4.1127,32.008,1100.0,538.93,13.707,154.88,1.1909,79.736
13.384,1013.9,76.751,4.1574,32.5,1099.9,530.74,13.87,158.78,1.1456,72.026
-5.4155,1034.6,58.816,4.0521,34.179,1099.9,525.8,14.492,172.89,2.7617,63.743
23.881,1008.7,80.613,4.1518,25.963,1091.3,550.39,12.046,133.82,1.7936,66.039
21.536,1019.4,70.739,4.5619,24.828,1079.7,549.92,11.984,129.25,1.7626,56.401
11.604,1012.1,79.39,4.001,24.338,1086.5,550.07,11.905,134.75,1.2255,77.901
11.989,1014.4,86.953,3.5377,25.233,1077.7,549.96,11.946,134.1,1.2923,63.512
19.191,1013.7,95.761,4.8436,25.147,1089.1,549.98,12.105,133.74,1.533,62.529
10.356,1012.4,85.392,2.6539,18.999,1044.3,543.26,10.318,108.95,9.2812,98.806
25.97,1010.4,68.016,5.348,30.48,1100.1,544.67,13.21,147.75,1.1707,56.034
18.909,1011.4,51.379,3.7041,27.065,1092.5,550.25,12.431,141.39,1.9777,61.349
21.692,1006.2,80.869,3.3145,21.936,1069.6,549.87,11.083,119.25,1.4231,59.948
4.9681,1014.3,81.519,3.3264,25.188,1080.8,549.89,11.866,135.39,3.1892,69.677
19.597,1006.1,97.677,4.0305,25.581,1092.1,550.04,12.291,136.13,1.3005,64.901
27.537,1011.1,76.693,3.9516,25.377,1079.6,550.19,11.938,128.22,2.223,43.261
7.808,1016.3,92.77,3.7907,23.949,1085.4,549.88,11.891,133.69,0.48593,77.987
16.718,1008.5,94.842,3.221,20.544,1061.9,550.03,10.695,114.8,3.9277,62.155
21.747,1020.9,78.191,4.3647,25.63,1092.7,550.29,12.14,135.11,1.7323,66.637
18.884,1009.2,96.763,4.8151,31.212,1096.4,540.37,13.292,150.88,1.9618,59.102
25.889,1003.6,81.855,4.1195,25.214,1078.7,550.03,11.82,128.3,1.8436,48.498
29.484,1012.8,49.14,4.0794,25.376,1080.4,549.73,11.962,127.59,2.1075,45.452
28.17,1009.7,67.585,4.1505,25.675,1081.2,549.87,12.033,129.5,1.87,53.695
28.421,1006.5,52.154,3.9408,26.13,1093.2,550.43,12.135,133.75,0.37186,64.548
21.586,1010.2,80.472,4.2458,19.528,1054.5,550.13,10.317,108.78,3.6313,64.209
18.561,991.29,66.887,2.6871,20.04,1056.7,550.04,10.475,111.2,4.5155,71.718
22.7,1013.5,78.193,5.3141,25.738,1091.9,550.04,12.163,133.83,1.2705,66.813
28.054,1008.2,77.657,4.1743,25.506,1080.2,549.96,11.835,128.3,1.9549,48.378
30.327,1005.1,60.479,4.2284,25.613,1080.8,550.08,11.902,127.87,1.7318,52.094
21.769,1006.4,72.287,3.8906,25.802,1083.5,549.93,12.116,135.01,1.4642,63.157
12.874,1019.3,71.548,5.1397,32.524,1100.2,529.52,13.946,160.04,0.45527,63.226
25.353,1013.2,90.864,3.9853,23.478,1069.6,549.87,11.449,121.41,2.162,47.739
27.912,1012.6,43.603,4.3286,30.298,1100.0,543.83,13.265,149.71,1.2339,53.134
18.464,1016.4,84.832,4.4139,24.341,1077.4,549.89,11.853,129.14,1.9885,57.99
7.839,1013.9,93.488,4.0332,24.092,1085.3,549.88,11.954,134.64,1.3369,78.984
9.4896,998.13,95.024,3.3962,24.837,1076.1,549.79,11.747,134.89,1.3461,61.76
25.76,1008.3,62.358,4.3378,30.409,1099.9,543.94,13.247,149.26,1.5433,50.425
22.109,1014.1,61.406,3.8462,25.907,1083.6,549.32,12.144,134.46,1.7094,60.91
10.155,1019.3,83.856,2.6733,18.662,1047.0,549.78,10.43,109.9,5.3949,63.133
27.749,1013.3,58.661,4.0958,23.925,1072.6,549.88,11.635,122.46,2.2095,51.553
14.42,1011.8,89.023,5.0724,24.878,1087.5,549.81,12.04,134.82,1.468,85.363
18.827,1017.7,76.373,2.7083,18.938,1053.2,549.92,10.399,107.52,5.6569,68.084
18.525,1004.5,88.463,3.3357,25.59,1088.6,549.97,11.926,134.14,1.428,66.482
15.531,1015.6,94.807,3.7313,25.235,1081.3,549.84,11.994,134.43,1.3618,61.243
24.224,1013.0,94.159,4.3053,25.39,1089.9,550.01,12.209,132.81,1.8377,58.248
22.107,1009.8,83.208,4.1423,22.726,1074.8,549.81,11.368,122.87,3.6552,60.678
20.471,1008.7,81.649,3.1531,19.998,1059.5,550.1,10.761,112.22,5.7012,52.868
8.7454,1011.6,87.523,2.9162,23.756,1082.6,549.96,11.659,132.63,1.7698,77.464
22.857,1008.9,58.206,3.7142,22.785,1074.4,549.94,11.4,122.39,2.9988,63.37
14.499,1019.1,47.888,4.4528,32.221,1100.0,538.95,13.691,156.47,1.1926,80.344
23.66,1016.2,59.705,3.8378,24.708,1077.5,550.09,11.802,126.98,1.4845,55.03
22.383,1011.0,91.374,4.3567,25.322,1090.7,549.85,12.021,134.42,1.6316,59.257
16.327,1017.5,99.07,2.6726,19.273,1054.6,549.96,10.423,108.82,4.9928,62.424
18.695,1008.7,79.017,3.0694,20.029,1050.3,550.15,10.569,111.03,4.5584,64.225
19.243,991.03,56.181,2.6888,19.46,1053.5,550.05,10.33,108.47,4.9357,80.09
28.798,1004.8,55.96,4.0373,20.474,1059.9,549.95,10.601,109.57,3.5114,50.308
10.731,998.26,100.14,5.0,24.575,1084.6,549.61,11.941,134.25,1.6762,75.063
16.299,1020.7,90.909,4.0019,31.063,1098.9,535.85,13.426,151.85,1.1601,71.508
6.9263,1011.0,78.759,2.9918,22.869,1071.3,550.07,11.55,129.31,3.7745,74.321
9.8085,1016.3,90.489,4.337,28.512,1091.2,538.37,12.885,147.98,0.93793,70.252
22.713,1010.4,93.037,4.4405,25.455,1090.0,550.1,12.153,133.47,1.6356,58.622
20.77,1011.5,89.85,4.5818,24.757,1078.9,550.06,11.798,129.67,1.0305,53.938
19.98,1011.4,55.686,3.412,26.706,1079.5,549.77,11.866,130.9,1.9724,59.111
8.1465,1015.5,63.686,3.7951,23.54,1084.0,549.68,11.888,133.8,1.0652,80.817
7.3923,1004.2,100.15,6.3601,34.699,1100.0,524.24,14.249,165.36,0.44155,68.293
11.288,1006.9,98.947,3.1741,24.608,1086.3,550.08,11.936,135.03,1.5938,78.471
22.331,1011.0,90.503,3.1063,20.021,1059.3,549.93,10.654,111.53,1.8193,54.05
25.659,1011.1,78.921,3.8151,24.683,1076.2,550.03,11.688,127.1,1.5598,51.386
16.018,1015.9,74.044,4.2079,31.26,1099.8,539.27,13.548,154.57,1.6159,49.697
22.122,1019.8,77.445,4.1272,23.215,1070.4,549.96,11.489,122.53,2.29,55.165
22.432,1009.7,82.153,4.3939,30.659,1099.9,543.05,13.31,149.65,1.155,49.269
4.5728,1021.7,87.397,4.0737,23.505,1083.9,549.96,11.883,134.7,1.7279,84.253
16.663,1025.3,77.256,3.1774,25.269,1090.2,550.19,12.058,135.02,0.80783,61.757
21.997,1015.4,95.997,3.5839,19.865,1057.9,550.08,10.482,110.34,5.1427,54.184
24.138,1011.8,47.909,2.916,18.86,1052.1,550.03,10.271,105.79,2.6646,65.704
22.062,1016.6,93.899,4.5306,25.563,1091.0,549.95,12.105,133.78,1.1241,59.266
12.958,1005.7,92.588,4.1884,24.295,1085.6,550.13,11.768,133.74,1.427,69.663
26.277,1008.9,74.166,4.1905,25.165,1078.8,550.11,11.918,127.91,1.9695,52.566
13.118,1013.1,100.13,2.3068,18.938,1050.8,548.9,10.273,108.74,6.6775,87.423
14.566,1015.1,79.114,3.0891,22.277,1067.7,550.47,11.302,123.98,3.3632,57.742
13.943,1020.4,88.919,4.0964,24.02,1084.7,550.05,11.761,132.22,1.7744,73.948
16.824,1019.1,60.834,2.6894,25.738,1047.8,550.15,10.444,109.11,5.2519,61.554
16.52,1020.4,90.259,4.0502,31.47,1100.1,534.83,13.623,153.71,1.1303,69.732
11.365,1013.2,86.16,5.6178,32.378,1100.0,529.89,13.938,160.47,0.64916,64.422
24.722,1011.3,65.645,5.2815,25.902,1092.7,549.85,12.134,134.35,2.0535,83.269
29.482,1012.8,49.235,4.0864,25.351,1080.4,549.8,11.95,127.53,0.98224,46.528
23.465,1018.7,79.094,4.2425,25.571,1091.8,550.24,12.186,133.78,0.75858,62.445
5.1978,1019.5,80.465,3.181,22.948,1073.7,549.87,11.571,131.2,3.7064,65.134
14.797,1012.1,79.243,2.9797,21.253,1067.3,550.09,10.973,118.94,3.3107,71.732
16.94,1007.0,92.906,3.6742,19.429,1054.3,550.03,10.377,109.34,5.9141,62.333
26.728,1008.1,66.101,3.3111,19.985,1057.2,549.95,10.554,109.1,3.5312,52.35
14.202,993.73,92.621,2.6297,19.115,1051.6,550.0,10.266,108.33,5.9928,75.979
25.565,997.27,71.06,3.8421,25.935,1090.9,550.2,12.152,134.21,0.15922,60.41
14.296,1017.3,89.127,4.23,24.438,1086.8,549.89,11.98,133.75,1.2886,71.203
28.554,1011.7,65.348,4.459,26.568,1095.6,550.17,12.314,134.81,3.3573,71.419
26.817,1005.9,60.806,4.4468,30.439,1100.2,539.26,13.281,149.08,0.21359,56.575
8.5233,1026.3,50.52,3.1404,24.185,1076.9,550.36,11.829,132.01,2.8992,74.976
18.842,987.43,62.544,5.7661,30.838,1100.0,539.52,13.218,150.65,0.73286,75.741
27.321,1013.4,70.273,4.5032,26.389,1095.0,550.27,12.344,137.31,1.2993,64.027
20.589,1016.4,86.708,3.4439,19.633,1056.6,550.1,10.488,109.64,5.1279,57.077
12.319,1019.5,76.626,3.542,25.173,1078.7,549.82,11.961,134.04,0.8874,61.375
8.2548,1023.6,68.401,2.6201,21.08,1041.9,546.14,10.479,108.92,9.2547,84.62
26.911,1008.1,64.146,3.9957,23.071,1075.6,550.08,11.362,121.45,2.5327,59.687
4.3717,1029.3,79.79,2.8735,22.524,1068.0,543.2,11.496,127.7,3.0528,100.03
11.669,1009.6,94.004,3.2095,24.337,1084.6,550.06,11.877,133.36,2.6427,83.535
18.683,1018.8,81.572,2.6582,19.235,1054.3,550.02,10.439,107.86,4.979,63.943
20.332,1014.8,88.204,3.0595,19.995,1060.0,550.1,10.709,112.68,2.5068,56.691
26.102,1004.2,71.633,4.3764,30.268,1099.9,539.72,13.32,148.67,0.80686,55.046
14.55,1014.5,80.071,3.9119,19.336,1055.3,550.02,10.419,110.66,3.8671,74.608
26.753,1010.2,67.962,4.3594,29.805,1099.9,545.79,13.118,147.21,1.4469,54.41
13.458,1011.7,72.249,3.7271,24.377,1086.6,549.83,11.856,133.64,1.8456,77.351
25.412,1011.5,85.355,4.1144,25.779,1090.9,550.36,12.245,133.5,1.817,60.473
29.932,1011.8,59.342,5.9186,29.551,1100.1,542.12,13.121,145.93,1.3066,57.772
28.749,1014.0,44.046,4.3086,30.856,1100.1,542.12,13.366,150.58,2.1654,52.126
22.077,1012.1,89.314,3.493,20.047,1058.1,549.89,10.552,110.82,3.8049,54.76
15.558,1016.9,81.933,2.7241,23.879,1066.2,550.0,11.267,122.72,1.5785,64.575
23.011,1016.9,68.999,3.2877,23.524,1072.0,549.73,11.566,124.64,2.4672,51.406
28.892,1013.5,60.001,4.3602,30.01,1099.9,544.65,13.191,147.93,1.6147,53.001
10.774,1011.3,94.169,3.7253,25.242,1077.8,550.09,11.937,134.71,1.0225,59.36
7.3401,1023.4,78.715,5.1003,33.322,1099.8,524.93,14.379,166.25,0.59344,64.708
17.015,1006.8,71.146,6.0024,31.996,1100.2,533.88,13.697,157.23,1.0175,68.003
29.049,1006.3,62.21,4.2872,29.863,1099.9,546.24,13.116,146.76,1.2444,53.424
17.688,1016.0,73.538,4.1326,29.941,1094.7,540.25,13.257,149.72,2.0593,49.865
28.076,1018.1,50.766,4.5529,27.427,1099.4,548.48,12.722,140.49,0.72744,67.605
28.19,1012.2,62.525,4.4367,29.741,1100.0,545.49,13.192,147.43,1.8704,55.961
18.838,1012.6,78.053,4.0951,24.833,1088.1,550.13,12.003,133.45,1.4341,67.453
25.342,1011.1,80.701,4.8181,30.852,1100.1,544.04,13.303,148.28,0.79496,48.506
9.9461,1018.5,69.71,3.9572,35.864,1100.0,537.01,13.764,158.75,3.0138,59.063
26.472,1008.5,64.514,3.9714,25.715,1092.5,549.89,12.308,133.82,0.25178,64.09
13.337,1017.4,87.473,5.4755,30.714,1099.9,535.35,13.471,154.92,0.78203,69.227
28.259,1014.4,45.01,4.304,30.917,1100.0,541.8,13.428,151.29,1.9018,51.747
22.489,1015.9,95.134,3.2927,20.236,1060.8,550.06,10.7,112.03,2.6894,51.459
